"antCount","bread","topping","butter","subjectID"
34,"Rye","Ham and gherkins","no","1"
47,"Multi Grain","Peanut butter","yes","1"
67,"White","Ham and gherkins","yes","1"
63,"Multi Grain","Ham and gherkins","yes","1"
65,"Rye","Ham and gherkins","no","2"
58,"Rye","Ham and gherkins","yes","1"
51,"Whole Grain","Peanut butter","yes","1"
59,"Multi Grain","Ham and gherkins","no","1"
65,"White","Ham and gherkins","yes","2"
18,"White","Yeast spread","no","1"
57,"Whole Grain","Peanut butter","yes","2"
76,"Multi Grain","Ham and gherkins","yes","2"
48,"Whole Grain","Ham and gherkins","no","1"
31,"White","Yeast spread","no","2"
26,"Multi Grain","Yeast spread","yes","1"
21,"Whole Grain","Peanut butter","no","1"
57,"Rye","Yeast spread","yes","1"
28,"Multi Grain","Yeast spread","yes","2"
21,"Rye","Yeast spread","no","1"
54,"White","Ham and gherkins","no","1"
38,"Multi Grain","Yeast spread","no","1"
19,"Multi Grain","Peanut butter","no","1"
53,"Whole Grain","Ham and gherkins","no","2"
60,"Multi Grain","Peanut butter","yes","2"
29,"Rye","Yeast spread","no","2"
48,"White","Peanut butter","no","1"
22,"White","Yeast spread","yes","1"
36,"Rye","Peanut butter","yes","1"
50,"White","Peanut butter","yes","1"
45,"White","Yeast spread","yes","2"
36,"White","Peanut butter","no","2"
36,"Multi Grain","Ham and gherkins","no","2"
42,"Whole Grain","Yeast spread","no","1"
24,"Whole Grain","Peanut butter","no","2"
59,"Rye","Peanut butter","no","1"
22,"Multi Grain","Peanut butter","no","2"
66,"Whole Grain","Ham and gherkins","yes","1"
47,"Rye","Peanut butter","no","2"
44,"White","Ham and gherkins","no","2"
42,"Rye","Yeast spread","yes","2"
25,"Whole Grain","Yeast spread","no","2"
48,"Whole Grain","Yeast spread","yes","1"
41,"Rye","Ham and gherkins","yes","2"
42,"Multi Grain","Yeast spread","no","2"
27,"White","Peanut butter","yes","2"
40,"Whole Grain","Yeast spread","yes","2"
59,"Whole Grain","Ham and gherkins","yes","2"
42,"Rye","Peanut butter","yes","2"
